-0.070863,-0.04266,1,100,0.0001
-0.003482,-0.002495,1,100,0.001
-0.031618,-0.029042,1,100,0.01
-0.002002,-0.002388,1,500,0.0001
-0.003226,-0.002502,1,500,0.001
-0.087993,-0.106638,1,500,0.01
-0.001322,-0.001065,1,1000,0.0001
-0.003258,-0.001598,1,1000,0.001
-0.127729,-0.148197,1,1000,0.01
-0.001813,-0.001803,1,1500,0.0001
-0.002667,-0.00146,1,1500,0.001
-0.087246,-0.087163,1,1500,0.01
-0.001783,-0.001833,1,2000,0.0001
-0.003222,-0.001777,1,2000,0.001
-0.112028,-0.134651,1,2000,0.01
-0.112445,-0.068343,8,100,0.0001
-0.003179,-0.002801,8,100,0.001
-0.006763,-0.004778,8,100,0.01
-0.105964,-0.062208,8,500,0.0001
-0.003383,-0.003037,8,500,0.001
-0.005326,-0.002314,8,500,0.01
-0.086976,-0.05451,8,1000,0.0001
-0.002364,-0.001113,8,1000,0.001
-0.005618,-0.001959,8,1000,0.01
-0.072979,-0.055989,8,1500,0.0001
-0.002761,-0.002187,8,1500,0.001
-0.00675,-0.00469,8,1500,0.01
-0.06395,-0.051338,8,2000,0.0001
-0.002635,-0.002425,8,2000,0.001
-0.007809,-0.003933,8,2000,0.01
-0.117115,-0.061968,16,100,0.0001
-0.00327,-0.002139,16,100,0.001
-0.006284,-0.00358,16,100,0.01
-0.118421,-0.066662,16,500,0.0001
-0.002128,-0.001064,16,500,0.001
-0.008842,-0.006165,16,500,0.01
-0.113107,-0.070391,16,1000,0.0001
-0.002155,-0.00103,16,1000,0.001
-0.006635,-0.002722,16,1000,0.01
-0.107353,-0.071581,16,1500,0.0001
-0.002932,-0.001679,16,1500,0.001
-0.008817,-0.003097,16,1500,0.01
-0.095321,-0.063654,16,2000,0.0001
-0.002468,-0.000941,16,2000,0.001
-0.007711,-0.006254,16,2000,0.01
-0.126965,-0.048773,64,100,0.0001
-0.128818,-0.09744,64,100,0.001
-0.010116,-0.004866,64,100,0.01
-0.140438,-0.070209,64,500,0.0001
-0.08787,-0.100989,64,500,0.001
-0.012459,-0.009308,64,500,0.01
-0.142852,-0.08297,64,1000,0.0001
-0.003125,-0.003786,64,1000,0.001
-0.023078,-0.017527,64,1000,0.01
-0.144621,-0.083417,64,1500,0.0001
-0.005374,-0.005611,64,1500,0.001
-0.029843,-0.019465,64,1500,0.01
-0.150585,-0.095136,64,2000,0.0001
-0.003292,-0.001892,64,2000,0.001
-0.011344,-0.007181,64,2000,0.01
