180,120,17,80,2000,900,1,round_1
180,120,17,40,2270,1100,1,
180,120,17,60,3300,1100,1,
180,120,17,70,3300,1100,1,
180,120,17,80,2000,1100,1,
180,120,17,40,2000,2300,1,
180,120,17,40,4000,2300,1,
180,120,17,50,2000,2300,1,
180,120,17,70,2270,2300,1,
180,120,17,70,3300,2300,1,
180,120,17,80,3300,2300,1,
180,120,17,40,2000,2900,1,
180,120,17,50,2000,2900,1,
180,120,17,50,3300,2900,1,
180,120,17,60,4000,2900,1,
180,120,17,80,4000,2900,1,
180,120,17,60,2270,1700,1,
180,120,17,70,2270,1700,1,
180,120,17,80,2000,1700,1,
180,120,17,80,2270,1700,1,
180,120,17,80,2270,1700,1,
180,120,17,60,2000,1500,1,round_2
180,120,17,60,3000,1500,1,
180,120,17,70,4000,1500,1,
180,120,17,80,2000,1500,1,
180,120,17,60,4000,2000,1,
180,120,17,80,3000,2000,1,
180,120,17,40,2000,3000,1,
180,120,17,50,2000,3000,1,
180,120,17,50,3000,3000,1,
180,120,17,50,4000,3000,1,
180,120,17,60,3000,3000,1,
180,120,17,70,3500,3000,1,
180,120,17,70,4000,3000,1,
180,120,17,60,2000,2500,1,
180,120,17,60,3500,2500,1,
180,120,17,60,4000,2500,1,
180,120,17,70,2000,2500,1,
180,120,17,80,3500,2500,1,
